Compound ID,Attrition Resistance,Thermal Stability,Average Particle Size,Particle Size Distribution (%),Density,Rare Earth Oxides (%),Catalyst Surface Area ,Micropore Surface Area ,Zeolite Surface Area ,X-Ray Fluorescence (a.u.),Cost 
CMPD-1000,93.09,718.6,90.89,11.97,1.11,0.87,235.64,61.53,113.43,0.42,13.94
CMPD-1001,89.04,822.55,62.47,21.02,1.2,1.42,105.56,109.89,82.98,0.86,44.53
CMPD-1002,82.05,735.55,60.84,16.31,1.05,3.31,297.38,52.79,80.66,0.9,42.26
CMPD-1003,95.35,682.67,73.03,15.43,1.38,1.51,217.39,69.83,53.56,0.84,18.93
CMPD-1004,82.56,646.18,99.97,23.84,1.2,1.62,164.03,60.82,127.39,0.15,25.22
CMPD-1005,83.39,607.57,96,21.54,1.48,1.94,187.49,82.64,73.34,0.86,13.96
CMPD-1006,94.28,833.11,94.63,16.19,1.06,3.49,263.16,142.68,185.23,0.45,12.34
CMPD-1007,94.8,674.08,56.28,19.95,1.37,3.51,237.13,108.51,110.43,0.72,41.45
CMPD-1008,88.4145,816.7723,65.4296,21.5039,1.1831,1.4431,106.3262,103.5825,80.4587,0.8681,46.488
CMPD-1009,88.4369,807.7283,61.9233,21.0115,1.1619,1.455,101.6938,105.5114,83.4701,0.8791,44.7589
CMPD-1010,96.6682,684.4297,71.1822,15.1924,1.3153,1.474,223.459,71.2499,54.6242,0.8461,18.7904
CMPD-1011,86.9841,846.5593,63.961,23.1466,1.1669,1.3596,108.8614,108.1282,79.2582,0.8545,43.9597
CMPD-1012,98.1602,837.4977,93.9015,16.0113,0.9756,3.5262,266.7358,141.9692,179.9895,0.469,12.3331
CMPD-1013,78.4151,655.4415,99.1931,24.083,1.1997,1.5823,167.8345,63.3839,132.7111,0.1478,25.9185
CMPD-1014,81.232,667.4367,101.2537,22.0737,1.1698,1.6529,160.9514,59.8667,127.6301,0.1523,25.95
CMPD-1015,79.9226,662.7351,105.3342,23.7377,1.1304,1.5554,163.9056,59.0686,131.6127,0.1441,25.765
CMPD-1016,85.9394,668.9002,108.3193,23.8177,1.1996,1.6293,167.0127,57.2726,126.5589,0.1479,23.4661
CMPD-1017,92.3415,700.1627,88.0895,12.1203,1.0858,0.8295,232.0312,60.5038,112.9953,0.4003,14.7765
CMPD-1018,91.772,742.0756,88.9396,12.214,1.1115,0.853,221.3239,61.8742,110.7331,0.4186,14.1512
CMPD-1019,85.5559,584.5877,98.6434,22.9113,1.5258,2.0137,183.5096,83.7403,75.0443,0.7764,13.531
CMPD-1020,97.115,687.6457,88.2137,12.1359,1.1123,0.8599,246.8519,59.2451,112.9135,0.4274,14.0575
CMPD-1021,91.351,760.6657,90.7807,11.9377,1.0932,0.9138,222.389,60.8511,111.5662,0.4007,14.0918
CMPD-1022,93.8534,702.1085,72.4362,15.1462,1.4592,1.5583,225.2481,67.3231,52.4366,0.8398,18.7545
CMPD-1023,84.5509,618.2755,98.8199,23.8717,1.1577,1.6341,163.1087,60.521,134.5013,0.1464,24.3333
CMPD-1024,85.7084,661.1235,95.6345,23.2363,1.2025,1.6678,166.3607,60.9192,125.7392,0.1584,25.1361
CMPD-1025,95.8165,677.3659,91.8784,12.2364,1.1592,0.8681,233.6449,62.0754,109.6958,0.4235,14.0566
CMPD-1026,89.8935,827.3194,61.2626,21.8751,1.1695,1.3801,94.5453,109.0056,81.5778,0.9255,46.0658
CMPD-1027,94.5568,724.0153,89.6526,11.8755,1.1278,0.8649,245.676,58.7184,117.5336,0.4261,13.0775
CMPD-1028,89.1567,849.0447,63.6246,20.6866,1.2018,1.3992,101.7013,106.0648,83.285,0.9109,44.7725
CMPD-1029,90.925,736.9545,88.1962,11.6209,1.1126,0.8488,229.2456,59.571,111.2032,0.4227,14.3208
CMPD-1030,82.4192,595.387,90.4883,22.1483,1.464,1.9261,185.3419,81.615,67.8334,0.8777,14.1234
CMPD-1031,82.3497,613.8179,101.5996,23.2941,1.135,1.6326,159.5799,60.6994,122.7619,0.1461,24.929
CMPD-1032,95.7785,869.1396,96.2683,16.0914,1.0718,3.4268,263.8436,142.0136,187.106,0.4444,12.486
